2022-02-03 01:53:37+00:00,b'RT @CarolHusband: The problem with Justin Trudeau\xe2\x80\x99s announcement he has #Covid is that no one believes him.'
2022-02-03 01:53:32+00:00,b'RT @njoyflyfishing: Total Confirmed Covid Cases by County For NV   2022-02-01:  Covid Insights From Our Analytics Team and USAFacts #datavi\xe2\x80\xa6'
2022-02-03 01:53:31+00:00,b'Fascinating to watch this chart of #COVID vaccination rates over time throughout California.  @SFGate @latimes\xe2\x80\xa6 https://t.co/mfeulDbyP2'
2022-02-03 01:53:27+00:00,"b'RT @2ysur2ysub: The world has been afraid of Black people, like forever.  Come to find out you should have been afraid of yourselves. #COVI\xe2\x80\xa6'"
2022-02-03 01:53:10+00:00,b'RT @njoyflyfishing: Total Confirmed Covid Cases by County For NV   2022-02-01:  Covid Insights From Our Analytics Team and USAFacts #datavi\xe2\x80\xa6'
2022-02-03 01:53:04+00:00,b'RT @CarolHusband: The problem with Justin Trudeau\xe2\x80\x99s announcement he has #Covid is that no one believes him.'
2022-02-03 01:52:47+00:00,"b'US #Covid Death Rate Marks \'Dark Side of American #Exceptionalism\'. ""You know what every country on this graph exce\xe2\x80\xa6 https://t.co/EFvfZGtQjF'"
2022-02-03 01:52:39+00:00,"b""This is shocking in the extreme - it's as if Lisa Millar is saying their lives don't matter.\n\nJust wait until child\xe2\x80\xa6 https://t.co/OQA0gQ4GC7"""
2022-02-03 01:52:29+00:00,"b'#BREAKING: Serbian prosecutors have weighed in on Novak Djokovic\xe2\x80\x99s #COVID certificates, stating they are valid and\xe2\x80\xa6 https://t.co/EclcK17N1v'"
2022-02-03 01:52:23+00:00,b'RT @njoyflyfishing: Total Confirmed Covid Cases by County For NE   2022-02-01:  Covid Insights From Our Analytics Team and USAFacts #datavi\xe2\x80\xa6'
2022-02-03 01:52:23+00:00,"b""RT @thenewsoncnbc: Team USA's Elana Meyers Taylor has tested positive for Covid just days before she was supposed to be a flag bearer in th\xe2\x80\xa6"""
2022-02-03 01:52:17+00:00,"b'The world has been afraid of Black people, like forever.  Come to find out you should have been afraid of yourselve\xe2\x80\xa6 https://t.co/wC7a42LO3P'"
2022-02-03 01:52:17+00:00,b'the libtards are using a fake fact checker sponsored by ccp.  by Chinese communist party\n#factcheckers\n#Maga\xe2\x80\xa6 https://t.co/KvjZaFHRsV'
2022-02-03 01:52:15+00:00,b'RT @WesElyMD: 8/ Look at the tables. Notice how list of problems from ACUTE #COVID Dz is much shorter than the list of problems in #LongCOV\xe2\x80\xa6'
2022-02-03 01:52:14+00:00,b'Took a #COVID test recently? Earn up to $100 by sharing your experience in online surveys. https://t.co/4ohu1dwKiJ\xe2\x80\xa6 https://t.co/MgbmAE8tak'
2022-02-03 01:52:12+00:00,b'Fact check. Claim: Both vaccinated and unvaccinated people are catching #COVID at the same rate. This is FALSE. Dat\xe2\x80\xa6 https://t.co/anRjPk07LR'
2022-02-03 01:52:11+00:00,b'RT @VendettaX93: ....meanwhile in #Belgium \xf0\x9f\xa5\xb3\n#COVID https://t.co/UYYpfrYveu'
2022-02-03 01:52:11+00:00,b'RT @CarolHusband: The problem with Justin Trudeau\xe2\x80\x99s announcement he has #Covid is that no one believes him.'
2022-02-03 01:52:03+00:00,b'Total Confirmed Covid Cases by County For NH   2022-02-01:  Covid Insights From Our Analytics Team and USAFacts\xe2\x80\xa6 https://t.co/v27xWGC8P3'
