"b'RT @mattwridley: ""The only known link between Wuhan and the only known source of the only known specimen of the most closely related virus\xe2\x80\xa6'",1
,
b'RT @CamilleLabchuk: Great piece about why meat-heavy diets need a massive rethink. https://t.co/FfD2Rgfsnc via @thespec',1
,
"b'RT @JPNadda: Myths on India\xe2\x80\x99s Covid-19 vaccination program are arising due to distorted statements, half truths and blatant lies.\nPress rel\xe2\x80\xa6'",1
,
b'RT @ScottishWidows: We\xe2\x80\x99re getting lots of questions on whether having the Covid-19 vaccine affects your life or critical illness insurance\xe2\x80\xa6',1
,
"b""RT @nizambakeri: I don't know, man. Anwar Ibrahim is a lot of things. But after watching all videos on this thread, I don't mind him captai\xe2\x80\xa6""",1
,
b'RT @BreitbartNews: Sen. Rand Paul is demanding Dr. Anthony Fauci be held to account and testify under oath about the origins of COVID-19.\xe2\x80\xa6',1
,
b'RT @snh48_today: TV Asahi news in Japan covered the Hongkou Covid-19 vaccine public awareness campaign featuring #SNH48 which recently took\xe2\x80\xa6',1
,
b'RT @Reuters: Taiwan says China blocked deal with BioNTech for COVID-19 shots https://t.co/8sZFIEAtal https://t.co/OR0SupXwbQ',1
,
b'RT @malaysia_covid: Johor\xe2\x80\x99s Sultan Ibrahim Sultan Iskandar urged the federal government today to consider a full lockdown\n\n\xe2\x80\x9cIt is selfish t\xe2\x80\xa6',1
,
b'RT @jjchamie: COVID-19 in Delhi is under control\n\n@NYT and other paid media want to sell the idea of India has 5 times more COVID deaths.\xe2\x80\xa6',1
,
"b'RT @baraju_SuperHit: Actor, Philanthropist Sonu Sood has come forward to bear the expenses for the construction of an oxygen plant in Siddi\xe2\x80\xa6'",1
,
b'Mild COVID-19 induces lasting antibody protection.  People who have had mild illness develop antibody-producing cel\xe2\x80\xa6 https://t.co/Ged2NffUE9',1
,
"b'RT @InformanteNews: TWO weeks after attending the inauguration of the Ugandan Head of State, President Hage Geingob and the First Lady of N\xe2\x80\xa6'",1
,
b'RT @AFP: Origins of Covid-19: unanswered questions.\n\nBiden orders US intelligence agencies to report to him in the next three months on whe\xe2\x80\xa6',1
,
b'RT @SonuGol49341350: @DrRPNishank @nitin_gadkari Sir parents is feared by the news of DU University that they lost their 60 professors and\xe2\x80\xa6',1
,
b'RT @ArjunMahiDhfc: Last Year Covid 19 time lo Charity Works by @AlwaysRamCharan Fans\n\nPROUD TO BE CHARAN ANNA FAN https://t.co/OajvPIvJO2',1
,
"b'RT @MarieAnnUK: Let\'s nail the lie that \'Herd Immunity"" was never the Government\'s strategy to deal with COVID-19 #LiarJohnson #BorisHasFai\xe2\x80\xa6'",1
,
"b'RT @POTUS: Shortly after taking office, I instructed our Intelligence Agencies to investigate the origins of the COVID-19 virus. Today, I\xe2\x80\x99v\xe2\x80\xa6'",1
,
"b'RT @jeffreyatucker: ""Mask mandates and use are not associated with slower state-level COVID-19 spread during COVID- 19 growth surges. "" htt\xe2\x80\xa6'",1
,
"b'RT @media_chin: Emergency assistance needed \xf0\x9f\x86\x98 \n\nAbout 50 to 100 residents of Cikha town, Tonzang Township, are in urgent need of emergency\xe2\x80\xa6'",1
,
b'RT @IMFNews: .@KGeorgieva: At the heart of the $50 billion IMF staff proposal to end the pandemic is closing the gap between wealthy countr\xe2\x80\xa6',1
,
b'RT @jigneshmevani80: The model state of Gujarat has become the epicenter for Black Fungus (#mucormycosis) with highest reported case in the\xe2\x80\xa6',1
,
b'RT @ZBCNewsonline: Bondolfi teachers college in Masvingo has been hit by a covid-19 outbreak with 96 students testing positive for the viru\xe2\x80\xa6',1
,
b'Covid-19: Gojek gives S$30 of free ride vouchers to Singapore users for vaccination trips https://t.co/MB0w0UMRwJ https://t.co/l4JfS8Banp',1
,
b'RT @philthrill69: I think anyone who is educated past junior infants knows this has absolutely nothing to do with Covid-19 or public health\xe2\x80\xa6',1
,
"b""Biden orders US intel to further probe origins of COVID-19, raise 'questions for China' - ABC News https://t.co/gnDMYqsfL0""",1
,
b'Stay up to date on the latest COVID-19 situation in Victoria. For more info visit https://t.co/W9POnuZpAa \n\n\xe2\x9a\xa0\xef\xb8\x8f New\xe2\x80\xa6 https://t.co/bZqfDVPC27',1
,
b'RT @DrEricDing: 2) There are now six people in hospital due to COVID-19. Four of them are in central Newfoundland.\xc2\xa0\n\nFitzgerald said the in\xe2\x80\xa6',1
,
"b""Biden orders US intel to further probe origins of COVID-19, raise 'questions for China' - ABC News https://t.co/vYWQtn7RaZ""",1
,
"b'RT @JPNadda: Myths on India\xe2\x80\x99s Covid-19 vaccination program are arising due to distorted statements, half truths and blatant lies.\nPress rel\xe2\x80\xa6'",1
,
b'#CRCL #Nickel\n\xf0\x9d\x97\x98\xf0\x9d\x97\xa9 \xf0\x9d\x97\xa0\xf0\x9d\x97\xae\xf0\x9d\x97\xbf\xf0\x9d\x97\xb8\xf0\x9d\x97\xb2\xf0\x9d\x98\x81\n\xe2\x80\xa2 The #EV market is estimated to grow by $37.69 Billion within 2021-2025 at a CAGR of over\xe2\x80\xa6 https://t.co/SsIMgJE5g5',1
,
